dataset_id,split_family,policy,metric,unit_cols,n_units,observed,ci_low,ci_high
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.10,macro_f1,split_id|subject_id|session|day,130,0.6255164364938666,0.5913611310600654,0.6596543307157999
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.15,macro_f1,split_id|subject_id|session|day,130,0.6397111882682688,0.603274700568769,0.6751350536717058
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.20,macro_f1,split_id|subject_id|session|day,130,0.6498067404702954,0.6125356382808429,0.6868726363588643
cemhsey,cemhsey_forward_day_logo,user_only,macro_f1,split_id|subject_id|session|day,130,0.5775596884029974,0.5459206849483419,0.6086371024603179
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.02,mean_ali,split_id|subject_id|session|day,130,0.00030307302003367573,0.00027054558777608455,0.00033221895281978906
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.05,mean_ali,split_id|subject_id|session|day,130,0.001767660998855409,0.001636335014148329,0.0018982560873286912
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.10,mean_ali,split_id|subject_id|session|day,130,0.006055863885176522,0.005639208146076344,0.0064254204578514185
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.15,mean_ali,split_id|subject_id|session|day,130,0.010594615155582219,0.009924234240799995,0.011213508157913029
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.20,mean_ali,split_id|subject_id|session|day,130,0.014814193649142859,0.013977715932624,0.015626334478127897
cemhsey,cemhsey_forward_day_logo,assist_only,mean_ali,split_id|subject_id|session|day,130,0.05339264975628219,0.050090105441108666,0.05645522765173592
cemhsey,cemhsey_forward_day_logo,confidence_blend_alpha_0.25,mean_ali,split_id|subject_id|session|day,130,0.005187302266765184,0.004810886928846302,0.005594032071190254
cemhsey,cemhsey_forward_day_logo,confidence_blend_alpha_0.50,mean_ali,split_id|subject_id|session|day,130,0.018601199823110037,0.0175999848124054,0.01970239196869608
cemhsey,cemhsey_forward_day_logo,confidence_blend_alpha_0.75,mean_ali,split_id|subject_id|session|day,130,0.034650473663459296,0.03253520391411742,0.036794750533477694
cemhsey,cemhsey_forward_day_logo,selective_prediction,mean_ali,split_id|subject_id|session|day,130,0.0011103461863379135,0.0008827232262963494,0.0013764057903450776
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.02,mean_ali,split_id|subject_id|session|day,130,0.0002566613362890368,0.00022852022413920612,0.000283245285926138
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.05,mean_ali,split_id|subject_id|session|day,130,0.00159946169029682,0.001476514503795927,0.0017295596944000592
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.10,mean_ali,split_id|subject_id|session|day,130,0.005762834170606837,0.0053576173009680286,0.006129974637038778
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.15,mean_ali,split_id|subject_id|session|day,130,0.01033474090035199,0.009713199563756337,0.010944683477203508
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.20,mean_ali,split_id|subject_id|session|day,130,0.014686198165726414,0.013848399914332976,0.015514811084607248
cemhsey,cemhsey_forward_day_logo,user_only,mean_ali,split_id|subject_id|session|day,130,0.0,0.0,0.0
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.02,risk_coverage_auc,split_id|subject_id|session|day,130,0.24155674935892757,0.204064026395165,0.2815290590160248
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.05,risk_coverage_auc,split_id|subject_id|session|day,130,0.23787006488590323,0.2006548119751269,0.2784071187127802
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.10,risk_coverage_auc,split_id|subject_id|session|day,130,0.23355998592836694,0.19625713851145932,0.2741523427644882
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.15,risk_coverage_auc,split_id|subject_id|session|day,130,0.23156801667348847,0.19326957578877202,0.2718622846261108
cemhsey,cemhsey_forward_day_logo,agency_margin_tau_0.20,risk_coverage_auc,split_id|subject_id|session|day,130,0.23048700953392764,0.1921633930585342,0.2710118167455366
cemhsey,cemhsey_forward_day_logo,assist_only,risk_coverage_auc,split_id|subject_id|session|day,130,0.24279321468916024,0.2039852818424365,0.28295969452360364
cemhsey,cemhsey_forward_day_logo,confidence_blend_alpha_0.25,risk_coverage_auc,split_id|subject_id|session|day,130,0.2339053313723097,0.19753950252029892,0.2724194444900705
cemhsey,cemhsey_forward_day_logo,confidence_blend_alpha_0.50,risk_coverage_auc,split_id|subject_id|session|day,130,0.2208972725586443,0.1836872318353733,0.2607863919298383
cemhsey,cemhsey_forward_day_logo,confidence_blend_alpha_0.75,risk_coverage_auc,split_id|subject_id|session|day,130,0.22296910968753506,0.1840798326090322,0.2630763424533902
cemhsey,cemhsey_forward_day_logo,selective_prediction,risk_coverage_auc,split_id|subject_id|session|day,130,0.2540063642014023,0.21645688759039614,0.29281260360391786
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.02,risk_coverage_auc,split_id|subject_id|session|day,130,0.24180505394770213,0.20422262479292713,0.2817918908399966
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.05,risk_coverage_auc,split_id|subject_id|session|day,130,0.23813587214041862,0.2009803858742117,0.2786047986688804
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.10,risk_coverage_auc,split_id|subject_id|session|day,130,0.2337551944808449,0.19652546293961143,0.27426484635990067
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.15,risk_coverage_auc,split_id|subject_id|session|day,130,0.2316689440015941,0.19343300169790317,0.27195745959122725
cemhsey,cemhsey_forward_day_logo,set_acsa_tau_0.20,risk_coverage_auc,split_id|subject_id|session|day,130,0.2305181733690099,0.19218944376587427,0.2710491857670244
cemhsey,cemhsey_forward_day_logo,user_only,risk_coverage_auc,split_id|subject_id|session|day,130,0.25802794309783267,0.2216269146349968,0.2949576454981971
db10,db10_able_to_amputee,agency_margin_tau_0.02,active_macro_f1,split_id|subject_id|session,15,0.1362575126511612,0.10867050024651985,0.16024992997397636
db10,db10_able_to_amputee,agency_margin_tau_0.05,active_macro_f1,split_id|subject_id|session,15,0.27101871254345655,0.2114449924737384,0.32635728987090085
db10,db10_able_to_amputee,agency_margin_tau_0.10,active_macro_f1,split_id|subject_id|session,15,0.4348869873731371,0.34740216867391815,0.5164975853833509
db10,db10_able_to_amputee,agency_margin_tau_0.15,active_macro_f1,split_id|subject_id|session,15,0.5325314811828422,0.4334564029740592,0.622453257807445
db10,db10_able_to_amputee,agency_margin_tau_0.20,active_macro_f1,split_id|subject_id|session,15,0.5911931610682085,0.477152467244462,0.6894995390224138
db10,db10_able_to_amputee,assist_only,active_macro_f1,split_id|subject_id|session,15,0.6901945395175738,0.5558017409075379,0.8000855018475522
db10,db10_able_to_amputee,confidence_blend_alpha_0.25,active_macro_f1,split_id|subject_id|session,15,0.5980735733844793,0.4784635210549744,0.705110568350413
db10,db10_able_to_amputee,confidence_blend_alpha_0.50,active_macro_f1,split_id|subject_id|session,15,0.6811814716170834,0.5514307320794501,0.7900143301585691
db10,db10_able_to_amputee,confidence_blend_alpha_0.75,active_macro_f1,split_id|subject_id|session,15,0.6885934507562559,0.5540535186991166,0.7986215566394783
db10,db10_able_to_amputee,selective_prediction,active_macro_f1,split_id|subject_id|session,15,0.48389435270545916,0.38211542515311175,0.5710252379499383
db10,db10_able_to_amputee,set_acsa_tau_0.02,active_macro_f1,split_id|subject_id|session,15,0.12865197469360942,0.10334177026644405,0.15103085896601715
db10,db10_able_to_amputee,set_acsa_tau_0.05,active_macro_f1,split_id|subject_id|session,15,0.2600558457651976,0.20298594737953882,0.3130638460405781
db10,db10_able_to_amputee,set_acsa_tau_0.10,active_macro_f1,split_id|subject_id|session,15,0.4260592786262043,0.3381550538843309,0.5063305505893976
db10,db10_able_to_amputee,set_acsa_tau_0.15,active_macro_f1,split_id|subject_id|session,15,0.5282286948651004,0.43011151224621746,0.6173528119722215
db10,db10_able_to_amputee,set_acsa_tau_0.20,active_macro_f1,split_id|subject_id|session,15,0.5892220105825122,0.47563139282547207,0.6869942062497418
