split_family,policy,accuracy,macro_f1,active_macro_f1,balanced_accuracy,mean_ali,intervention_rate,risk_coverage_auc,active_risk_coverage_auc,ece,median_decision_time_ms,n,n_active
db10_able_to_amputee,set_acsa_tau_0.20,0.5148730158730159,0.4746871255536621,0.5892220105825123,0.5564184704184705,0.04388281982756089,0.6487142857142857,0.31063772676133694,0.25171779132548405,0.14636306311034114,600.0,63000,31500
db10_able_to_amputee,agency_margin_tau_0.20,0.5169523809523809,0.4765102439705083,0.5911931610682085,0.5577316017316017,0.04457957680831808,0.6534285714285715,0.3104465866066316,0.25161131709172163,0.15217476624952953,600.0,63000,31500
db10_able_to_amputee,plain_conf_threshold_matched_tau_0.10,0.5470793650793652,0.4801453611789478,0.5757148467805498,0.5560144300144301,0.05583018180377376,0.5307301587301587,0.27386566637768356,0.24071103519098358,0.1529051682071947,600.0,63000,31500
db10_able_to_amputee,plain_conf_threshold_matched_tau_0.15,0.5656349206349206,0.5063744909167021,0.6140798933681322,0.5888946608946609,0.06578147102161283,0.612015873015873,0.26334854315131395,0.23041837736262483,0.13948739568283705,600.0,63000,31500
db10_able_to_amputee,plain_conf_threshold_matched_tau_0.20,0.5724126984126984,0.5153737796945133,0.6270370187592869,0.5996334776334776,0.06957046630985217,0.6414444444444444,0.26042558141583105,0.2281820366969991,0.13326745896426945,600.0,63000,31500
db10_able_to_amputee,confidence_blend_alpha_0.50,0.5973492063492063,0.5539751756794691,0.6811814716170834,0.6416998556998557,0.08401965489615701,0.7681428571428571,0.2613132551498601,0.23692212800257428,0.19692599725006418,600.0,63000,31500
db10_able_to_amputee,confidence_blend_alpha_0.75,0.6028888888888889,0.5568236463939239,0.6885934507562559,0.6478499278499278,0.0947212789914998,0.8004603174603174,0.2533339319510366,0.22674001026512697,0.09666132665977653,600.0,63000,31500
db10_able_to_amputee,assist_only,0.6015396825396825,0.5566059254086704,0.6901945395175738,0.6490591630591631,0.09572484970202486,0.8055396825396826,0.2523807702061296,0.2229716596863499,0.10157414625421662,600.0,63000,31500
db10_amputee_loso,user_only,0.2279206349206349,0.09505322541087721,0.08060350653361364,0.11640115440115441,0.0,0.0,0.8394507632546234,0.8898838683495233,0.13568199992564678,600.0,63000,31500
db10_amputee_loso,set_acsa_tau_0.02,0.29982539682539683,0.1584352752103416,0.154292560077825,0.18355266955266955,0.0013121157054158906,0.1273015873015873,0.4890517575309568,0.6404575262200071,0.11482482913855208,600.0,63000,31500
