split_family,policy,accuracy,macro_f1,active_macro_f1,balanced_accuracy,mean_ali,intervention_rate,risk_coverage_auc,active_risk_coverage_auc,ece,median_decision_time_ms,n,n_active
hyser_subject_logo,confidence_blend_alpha_0.25,0.3677419255267754,0.3405064241729857,0.3405064241729857,0.3666053921568627,0.0034168714077494325,0.07820391047746125,0.44442203616719517,0.44442203616719517,0.08817309891552924,600.0,40340,40340
hyser_subject_logo,plain_conf_threshold_matched_tau_0.10,0.3583967702710805,0.3321572355962417,0.3321572355962417,0.35745343137254904,0.0070976758028862275,0.024137046633977675,0.4583982206268272,0.4583982206268272,0.10698910681937819,600.0,40340,40340
hyser_subject_logo,set_acsa_tau_0.15,0.36566099900129734,0.3386916537948072,0.3386916537948072,0.3644877450980392,0.007623312238264524,0.09479020076911794,0.4515789824916454,0.4515789824916454,0.10997038264078873,600.0,40340,40340
hyser_subject_logo,agency_margin_tau_0.15,0.3659799902038256,0.3389063710339647,0.3389063710339647,0.3648112745098039,0.007753149390674221,0.09625083179831925,0.45154094938648887,0.45154094938648887,0.1366217087000003,600.0,40340,40340
hyser_subject_logo,plain_conf_threshold_matched_tau_0.15,0.36013405333302356,0.3348235788840973,0.3348235788840973,0.35918382352941175,0.012072779206911225,0.039363431921481735,0.4596459018104884,0.4596459018104884,0.10664668483383918,600.0,40340,40340
hyser_subject_logo,set_acsa_tau_0.20,0.36865312115455,0.34207003845690986,0.34207003845690986,0.3674828431372549,0.012328540887984674,0.12187393842603496,0.4502397731047475,0.4502397731047475,0.10962799551520055,600.0,40340,40340
hyser_subject_logo,agency_margin_tau_0.20,0.36882592925767255,0.3422601262801701,0.3422601262801701,0.3676593137254902,0.012382446515824241,0.12241733629193138,0.4502130974978078,0.4502130974978078,0.12901839813679,600.0,40340,40340
hyser_subject_logo,plain_conf_threshold_matched_tau_0.20,0.3611603311993069,0.3361004361974928,0.3361004361974928,0.36021323529411764,0.01588185289484954,0.051749243247820445,0.4610834221071409,0.4610834221071409,0.10656084297798514,600.0,40340,40340
hyser_subject_logo,confidence_blend_alpha_0.50,0.38585943624782193,0.3579132005163251,0.3579132005163251,0.3847230392156863,0.027299494587271406,0.2272585449459051,0.42510809110393855,0.42510809110393855,0.1003770980278462,600.0,40340,40340
hyser_subject_logo,confidence_blend_alpha_0.75,0.37633744167257166,0.34663791212633094,0.34663791212633094,0.3752671568627451,0.10077019305016292,0.46422370053224987,0.4454165462373518,0.4454165462373518,0.10694204722089999,600.0,40340,40340
