split_family,comparison_family,metric,policy_a,policy_b,unit_cols,n_units,estimate,ci_low,ci_high,p_value,beneficial,holm_rank,holm_n_tests,holm_threshold,holm_reject,beneficial_and_holm_significant
db10_amputee_loso,agency_vs_set_acsa,safe_episode_rate,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session,15,0.0688888888888889,0.048807539682539695,0.09182936507936507,0.0009995002498750624,True,3,5,0.016666666666666666,True,True
db10_amputee_loso,agency_vs_set_acsa,safe_episode_rate,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session,15,0.05222222222222222,0.036660714285714296,0.06825793650793648,0.0004997501249375312,True,1,5,0.01,True,True
db10_amputee_loso,agency_vs_set_acsa,safe_episode_rate,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session,15,0.021587301587301603,0.011744047619047623,0.03341269841269844,0.0004997501249375312,True,2,5,0.0125,True,True
db10_amputee_loso,agency_vs_set_acsa,safe_episode_rate,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session,15,0.005079365079365076,0.0017440476190476164,0.009525793650793642,0.005997001499250375,True,4,5,0.025,True,True
db10_amputee_loso,agency_vs_set_acsa,safe_episode_rate,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session,15,0.0012698412698412653,0.00015873015873015816,0.002936507936507926,0.12193903048475763,True,5,5,0.05,False,False
db10_amputee_loso,agency_vs_set_acsa,stable_safe_episode_rate,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session,15,0.037380952380952376,0.025472222222222226,0.0511924603174603,0.0009995002498750624,True,2,5,0.0125,True,True
db10_amputee_loso,agency_vs_set_acsa,stable_safe_episode_rate,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session,15,0.023968253968253965,0.016507936507936513,0.03206349206349204,0.0009995002498750624,True,3,5,0.016666666666666666,True,True
db10_amputee_loso,agency_vs_set_acsa,stable_safe_episode_rate,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session,15,0.011190476190476199,0.006428571428571435,0.016271825396825406,0.0004997501249375312,True,1,5,0.01,True,True
db10_amputee_loso,agency_vs_set_acsa,stable_safe_episode_rate,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session,15,0.00301587301587302,0.0009523809523809601,0.005793650793650799,0.010994502748625687,True,4,5,0.025,True,True
db10_amputee_loso,agency_vs_set_acsa,stable_safe_episode_rate,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session,15,0.001111111111111111,0.00023809523809524094,0.0023015873015872932,0.03298350824587706,True,5,5,0.05,True,True
db10_amputee_loso,agency_vs_set_acsa,final_correct_rate,agency_margin_tau_0.02,set_acsa_tau_0.02,split_id|subject_id|session,15,0.019761904761904762,0.012777777777777772,0.02762103174603174,0.0009995002498750624,True,2,5,0.0125,True,True
db10_amputee_loso,agency_vs_set_acsa,final_correct_rate,agency_margin_tau_0.05,set_acsa_tau_0.05,split_id|subject_id|session,15,0.01634920634920635,0.010873015873015875,0.02174801587301587,0.0009995002498750624,True,3,5,0.016666666666666666,True,True
db10_amputee_loso,agency_vs_set_acsa,final_correct_rate,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session,15,0.009761904761904756,0.005476190476190471,0.014444444444444446,0.0004997501249375312,True,1,5,0.01,True,True
db10_amputee_loso,agency_vs_set_acsa,final_correct_rate,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session,15,0.002698412698412704,0.000793650793650798,0.0053988095238095305,0.010994502748625687,True,4,5,0.025,True,True
db10_amputee_loso,agency_vs_set_acsa,final_correct_rate,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session,15,0.001031746031746043,0.00023809523809523725,0.002222222222222244,0.03298350824587706,True,5,5,0.05,True,True
db10_amputee_loso,agency_vs_set_acsa,median_earliest_safe_s,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session,15,0.0,0.0,0.0,1.0,False,1,3,0.016666666666666666,False,False
db10_amputee_loso,agency_vs_set_acsa,median_earliest_safe_s,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session,15,0.0,0.0,0.0,1.0,False,2,3,0.025,False,False
db10_amputee_loso,agency_vs_set_acsa,median_earliest_safe_s,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session,15,0.0,0.0,0.0,1.0,False,3,3,0.05,False,False
db10_amputee_loso,agency_vs_set_acsa,median_earliest_stable_safe_s,agency_margin_tau_0.10,set_acsa_tau_0.10,split_id|subject_id|session,15,0.0,0.0,0.0,1.0,False,1,3,0.016666666666666666,False,False
db10_amputee_loso,agency_vs_set_acsa,median_earliest_stable_safe_s,agency_margin_tau_0.15,set_acsa_tau_0.15,split_id|subject_id|session,15,0.0,0.0,0.0,1.0,False,2,3,0.025,False,False
db10_amputee_loso,agency_vs_set_acsa,median_earliest_stable_safe_s,agency_margin_tau_0.20,set_acsa_tau_0.20,split_id|subject_id|session,15,0.0,0.0,0.0,1.0,False,3,3,0.05,False,False
db10_amputee_loso,agency_vs_plain_conf,safe_episode_rate,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session,15,0.3001587301587302,0.22792857142857145,0.3707281746031745,0.0009995002498750624,True,5,5,0.05,True,True
db10_amputee_loso,agency_vs_plain_conf,safe_episode_rate,agency_margin_tau_0.05,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session,15,0.2957936507936508,0.22721031746031745,0.35564484126984114,0.0004997501249375312,True,1,5,0.01,True,True
db10_amputee_loso,agency_vs_plain_conf,safe_episode_rate,agency_margin_tau_0.10,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session,15,0.1984920634920635,0.16118849206349206,0.23698809523809525,0.0004997501249375312,True,2,5,0.0125,True,True
db10_amputee_loso,agency_vs_plain_conf,safe_episode_rate,agency_margin_tau_0.15,plain_conf_threshold_matched_tau_0.15,split_id|subject_id|session,15,0.12904761904761902,0.10444047619047625,0.15635317460317455,0.0004997501249375312,True,3,5,0.016666666666666666,True,True
db10_amputee_loso,agency_vs_plain_conf,safe_episode_rate,agency_margin_tau_0.20,plain_conf_threshold_matched_tau_0.20,split_id|subject_id|session,15,0.10563492063492066,0.08356944444444445,0.13000198412698413,0.0004997501249375312,True,4,5,0.025,True,True
db10_amputee_loso,agency_vs_plain_conf,stable_safe_episode_rate,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session,15,0.15047619047619049,0.10800198412698415,0.19507936507936507,0.0009995002498750624,True,3,5,0.016666666666666666,True,True
db10_amputee_loso,agency_vs_plain_conf,stable_safe_episode_rate,agency_margin_tau_0.05,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session,15,0.13277777777777777,0.09150793650793651,0.17309722222222224,0.0009995002498750624,True,4,5,0.025,True,True
db10_amputee_loso,agency_vs_plain_conf,stable_safe_episode_rate,agency_margin_tau_0.10,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session,15,0.11746031746031745,0.06753769841269841,0.1765912698412698,0.0009995002498750624,True,5,5,0.05,True,True
db10_amputee_loso,agency_vs_plain_conf,stable_safe_episode_rate,agency_margin_tau_0.15,plain_conf_threshold_matched_tau_0.15,split_id|subject_id|session,15,0.10777777777777779,0.06944047619047622,0.15317460317460319,0.0004997501249375312,True,1,5,0.01,True,True
db10_amputee_loso,agency_vs_plain_conf,stable_safe_episode_rate,agency_margin_tau_0.20,plain_conf_threshold_matched_tau_0.20,split_id|subject_id|session,15,0.1065873015873016,0.07452182539682539,0.1450892857142857,0.0004997501249375312,True,2,5,0.0125,True,True
db10_amputee_loso,agency_vs_plain_conf,final_correct_rate,agency_margin_tau_0.02,plain_conf_threshold_matched_tau_0.02,split_id|subject_id|session,15,0.0396031746031746,0.015948412698412694,0.061117063492063466,0.010494752623688156,True,2,5,0.0125,True,True
db10_amputee_loso,agency_vs_plain_conf,final_correct_rate,agency_margin_tau_0.05,plain_conf_threshold_matched_tau_0.05,split_id|subject_id|session,15,-0.015238095238095222,-0.04777777777777776,0.019841269841269844,0.41179410294852575,False,4,5,0.025,False,False
db10_amputee_loso,agency_vs_plain_conf,final_correct_rate,agency_margin_tau_0.10,plain_conf_threshold_matched_tau_0.10,split_id|subject_id|session,15,0.020396825396825396,-0.028253968253968254,0.08286706349206345,0.5747126436781609,True,5,5,0.05,False,False
