dataset_id,split_family,policy,safe_episode_rate,stable_safe_episode_rate,final_correct_rate,median_earliest_intervene_s,median_earliest_correct_s,median_earliest_safe_s,median_earliest_stable_safe_s
db10,db10_able_to_amputee,set_acsa_tau_0.10,0.5162698412698412,0.35349206349206347,0.4407142857142857,0.2,0.21333333333333335,0.2285714285714286,0.4428571428571429
db10,db10_able_to_amputee,set_acsa_tau_0.15,0.5668253968253969,0.4141269841269841,0.4854761904761905,0.2,0.2,0.2,0.3285714285714286
db10,db10_able_to_amputee,set_acsa_tau_0.20,0.5883333333333333,0.4573809523809524,0.5225396825396825,0.22666666666666666,0.2,0.22000000000000003,0.24285714285714288
db10,db10_able_to_amputee,user_only,0.0,0.0,0.28563492063492063,,0.3333333333333333,,
db10,db10_amputee_loso,agency_margin_tau_0.02,0.3541269841269841,0.19238095238095237,0.34380952380952384,0.4428571428571429,0.29333333333333333,0.4428571428571429,0.8071428571428572
db10,db10_amputee_loso,agency_margin_tau_0.05,0.5242063492063492,0.3146825396825397,0.40650793650793654,0.3066666666666667,0.25333333333333335,0.4066666666666667,0.6142857142857142
db10,db10_amputee_loso,agency_margin_tau_0.10,0.645952380952381,0.4753968253968254,0.5318253968253969,0.2,0.21333333333333335,0.24000000000000002,0.4
db10,db10_amputee_loso,agency_margin_tau_0.15,0.6615079365079365,0.539920634920635,0.5864285714285714,0.2,0.2,0.2,0.25333333333333335
db10,db10_amputee_loso,agency_margin_tau_0.20,0.6647619047619048,0.563015873015873,0.6069047619047618,0.2,0.2,0.2,0.21333333333333335
db10,db10_amputee_loso,assist_only,0.665952380952381,0.5798412698412698,0.6229365079365079,0.2,0.2,0.2,0.21333333333333335
db10,db10_amputee_loso,confidence_blend_alpha_0.25,0.6603174603174603,0.5475396825396825,0.6045238095238096,0.2,0.21333333333333335,0.22666666666666668,0.24666666666666667
db10,db10_amputee_loso,confidence_blend_alpha_0.50,0.6658730158730158,0.5778571428571428,0.6253968253968254,0.2,0.2,0.2,0.21333333333333335
db10,db10_amputee_loso,confidence_blend_alpha_0.75,0.6651587301587302,0.5798412698412698,0.6247619047619047,0.2,0.2,0.2,0.21333333333333335
db10,db10_amputee_loso,plain_conf_threshold_matched_tau_0.02,0.05396825396825397,0.0419047619047619,0.3042063492063492,0.35384615384615387,0.29333333333333333,0.5727272727272728,0.6272727272727273
db10,db10_amputee_loso,plain_conf_threshold_matched_tau_0.05,0.2284126984126984,0.1819047619047619,0.4217460317460317,0.26666666666666666,0.25333333333333335,0.4307692307692308,0.47692307692307695
db10,db10_amputee_loso,plain_conf_threshold_matched_tau_0.10,0.44746031746031745,0.3579365079365079,0.5114285714285715,0.2,0.21333333333333335,0.27142857142857146,0.3285714285714286
db10,db10_amputee_loso,plain_conf_threshold_matched_tau_0.15,0.5324603174603175,0.43214285714285716,0.5445238095238095,0.2,0.21333333333333335,0.21428571428571427,0.22142857142857145
db10,db10_amputee_loso,plain_conf_threshold_matched_tau_0.20,0.5591269841269841,0.45642857142857146,0.5551587301587302,0.22666666666666668,0.21333333333333335,0.23333333333333334,0.26666666666666666
db10,db10_amputee_loso,selective_prediction,0.45761904761904765,0.13960317460317462,0.34746031746031747,0.21333333333333335,0.21333333333333335,0.21428571428571427,0.4307692307692308
db10,db10_amputee_loso,set_acsa_tau_0.02,0.28523809523809524,0.155,0.32404761904761903,0.4428571428571429,0.29333333333333333,0.4571428571428572,0.8
db10,db10_amputee_loso,set_acsa_tau_0.05,0.471984126984127,0.2907142857142857,0.3901587301587302,0.3333333333333333,0.25333333333333335,0.34285714285714286,0.6357142857142858
db10,db10_amputee_loso,set_acsa_tau_0.10,0.6243650793650793,0.4642063492063492,0.522063492063492,0.2,0.21333333333333335,0.24000000000000002,0.4
db10,db10_amputee_loso,set_acsa_tau_0.15,0.6564285714285715,0.5369047619047619,0.5837301587301588,0.2,0.2,0.2,0.25333333333333335
db10,db10_amputee_loso,set_acsa_tau_0.20,0.6634920634920635,0.5619047619047619,0.6058730158730158,0.2,0.2,0.2,0.21333333333333335
db10,db10_amputee_loso,user_only,0.0,0.0,0.25103174603174605,,0.32000000000000006,,
db10,db10_mixed_to_amputee,agency_margin_tau_0.02,0.36777777777777776,0.20206349206349206,0.3952380952380953,0.37142857142857144,0.24000000000000002,0.42857142857142855,0.7142857142857143
